id,repo,pr_number,convo_start_id,reviewer_login,reviewer_role,review_category,feed_type,conf_score,comment_body,LOC,LOC_no_blank,token_init_comment,human_label,human_notes
73,bigbluebutton/bigbluebutton,23677,2291846964,coderabbitai[bot],Agent(coderabbitai[bot]),Agent_Review_Human,External Impact,9.0,"_ Verification agent_

<details>
<summary> Analysis chain</summary>

**Splitting the external-video note into supported and warning is clearer.**

Good call separating the messages. Please double-check there are no lingering references to the old single key (app.externalVideo.noteLabel) elsewhere.


Run this to verify no remaining usages of the removed key:

---

 Script executed:

```shell
#!/bin/bash
rg -nP ""app\.externalVideo\.noteLabel\b"" -g '!**/node_modules/**'
```

Length of output: 11434

---



</details>

**Action Required: Update locale files to remove the old key and add the two new keys**

The `rg` scan shows that the old key `app.externalVideo.noteLabel` remains in every JSON under `public/locales/`  these must be cleaned up and replaced with your new keys (`app.externalVideo.noteLabelSupported` and `app.externalVideo.noteLabelWarning`):

 Remove any occurrences of  
  ```json
  ""app.externalVideo.noteLabel"": """"
  ```  
  from all `bigbluebutton-html5/public/locales/*.json` files.

 In each locale file, add translations for the two new IDs:  
  ```json
  ""app.externalVideo.noteLabelSupported"": ""<localized text for supported sources>"",
  ""app.externalVideo.noteLabelWarning"": ""<localized text for warning about recordings>""
  ```  
   for example, in `en.json`:  
  ```json
  ""app.externalVideo.noteLabelSupported"": ""Supported: YouTube, Vimeo, Instructure Media, Twitch, Dailymotion and media file URLs."",
  ""app.externalVideo.noteLabelWarning"": ""Note: Shared external videos do not appear in the recording.""
  ```

 Verify that all languages are covered and that your translation team provides the localized strings for each new key.

Once the old key is fully removed and the new keys are present in every locale, the component will pick up the correct text.

<details>
<summary> Prompt for AI Agents</summary>

```
In
bigbluebutton-html5/imports/ui/components/actions-bar/media-area/media-sharing/external-video/component.tsx
around lines 2734, the locale key app.externalVideo.noteLabel was split into
two new keys but the old key still exists in all JSON locale files; remove every
occurrence of ""app.externalVideo.noteLabel"" from all files under
bigbluebutton-html5/public/locales/, and in each locale JSON add the two new
keys ""app.externalVideo.noteLabelSupported"" and
""app.externalVideo.noteLabelWarning"" with appropriate localized strings (use the
provided English examples in en.json and request translations from the
localization team for every other language), then run a quick search across
public/locales to verify the old key is gone and both new keys exist in every
locale file.
```

</details>

<!-- fingerprinting:phantom:poseidon:chinchilla -->

<!-- This is an auto-generated comment by CodeRabbit -->",14.0,16,619,Testing,
74,dotnet/runtime,116222,2125052927,jkotas,Human(jkotas),Human_Review_Human,Knowledge Transfer,8.0,"On some architectures, there are subtle calling convention differences between `PrimitiveType` and `struct WrapperOfPrimitiveType { PrimitiveType Value; }`, so the two are not interchangeable in portable code. I think it will probably work for this change since you only use it for `out` args.


ClrDataAddress",13.0,9,63,Knowledge Transfer,
75,ant-design/ant-design,55110,2365937564,gemini-code-assist[bot],Agent(gemini-code-assist[bot]),Agent_Review_Human,Defects,9.0,"![critical](https://www.gstatic.com/codereviewagent/critical.svg)

This change introduces a new violation of the Rules of Hooks. The `devUseWarning` function is a hook (it uses `useContext` internally) and cannot be called inside the `useEffect` callback. Hooks must be called at the top level of a component.

To fix this, you should move the `devUseWarning` call outside of the `useEffect`.

Additionally, there's another conditional hook call on line 78 that was missed. It would be best to have a single `devUseWarning('Input')` call at the top of the component and reuse the returned `warning` function for both the deprecation warning and this effect.

Here is a suggested fix for this block:

```suggestion
  const warning = devUseWarning('Input');
  useEffect(() => {
    if (process.env.NODE_ENV !== 'production') {
      if (inputHasPrefixSuffix && !prevHasPrefixSuffix.current) {
        warning(
          document.activeElement === inputRef.current?.input,
          'usage',
          `When Input is focused, dynamic add or remove prefix / suffix will make it lose focus caused by dom structure change. Read more: https://ant.design/components/input/#FAQ`,
        );
      }
      prevHasPrefixSuffix.current = inputHasPrefixSuffix;
    }
  }, [inputHasPrefixSuffix]);
```",29.0,19,288,Defects,
76,gravitee-io/gravitee-api-management,13867,2486086123,phiz71,Human(phiz71),Human_Review_Human,No feedback,,,27.0,7,0,No feedback,
77,woocommerce/woocommerce,61454,2436620774,coderabbitai[bot],Agent(coderabbitai[bot]),Agent_Review_Human,Defects,9.0,"_️ Potential issue_ | _ Critical_

<details>
<summary> Analysis chain</summary>

**Verify the impact of changing to `get_name()`.**

Line 374 changed from using `$product->get_formatted_name()` to `$product->get_name()`. The `get_formatted_name()` method typically includes additional information like SKU or variation attributes, while `get_name()` returns just the product name.

Ensure this change doesn't result in loss of important product identification information in order notes, especially for variable products.




Run the following script to check how get_formatted_name vs get_name differ in the codebase:

---

 Script executed:

```shell
#!/bin/bash
# Check usage patterns of get_formatted_name and get_name in stock-related contexts
echo ""=== Checking get_formatted_name usage in stock contexts ===""
rg -nP --type=php -C2 'get_formatted_name\(\)' plugins/woocommerce/includes/wc-stock-functions.php

echo -e ""\n=== Checking if get_formatted_name includes additional info ===""
rg -nP --type=php -C5 'function get_formatted_name' plugins/woocommerce/includes/
```

Length of output: 2368

---

I need to verify the actual line number and content. Let me inspect the file directly:



</thinking>

---

 Script executed:

```shell
#!/bin/bash
# Check line 374 and surrounding context
echo ""=== Checking line 374 and context in wc-stock-functions.php ===""
sed -n '370,380p' plugins/woocommerce/includes/wc-stock-functions.php

echo -e ""\n=== Checking if line 374 exists in the file and total lines ===""
wc -l plugins/woocommerce/includes/wc-stock-functions.php

echo -e ""\n=== Searching for all get_name() calls in wc-stock-functions.php ===""
rg -nP --type=php 'get_name\(\)' plugins/woocommerce/includes/wc-stock-functions.php

echo -e ""\n=== Comparing get_name() vs get_formatted_name() implementations ===""
rg -nP --type=php -C8 'public function get_name\(\)' plugins/woocommerce/includes/abstracts/abstract-wc-product.php | head -20
```

Length of output: 998

---

</thinking>



</thinking>

---

 Script executed:

```shell
#!/bin/bash
# Get full get_name() implementation
echo ""=== Get get_name() full implementation ===""
rg -nP --type=php -A10 'public function get_name\(\)' plugins/woocommerce/includes/abstracts/abstract-wc-product.php

echo -e ""\n=== Full context of line 374 in wc-stock-functions.php (lines 365-385) ===""
sed -n '365,385p' plugins/woocommerce/includes/wc-stock-functions.php

echo -e ""\n=== Check line 200 context (where get_formatted_name was used) ===""
sed -n '195,210p' plugins/woocommerce/includes/wc-stock-functions.php
```

Length of output: 1679

---

 Script executed:

```shell
#!/bin/bash
# Get full get_name() implementation
echo ""=== Get get_name() full implementation ===""
rg -nP --type=php -A10 'public function get_name\(\)' plugins/woocommerce/includes/abstracts/abstract-wc-product.php

echo -e ""\n=== Full context of line 374 in wc-stock-functions.php (lines 365-385) ===""
sed -n '365,385p' plugins/woocommerce/includes/wc-stock-functions.php

echo -e ""\n=== Check line 200 context (where get_formatted_name was used) ===""
sed -n '195,210p' plugins/woocommerce/includes/wc-stock-functions.php
```

Length of output: 1679

---



</details>

**Inconsistent product identification in order notes: Line 374 should likely use `get_formatted_name()` to match line 200.**

The codebase shows an inconsistency in how products are identified across stock operations:
- **Line 200** (stock decrease): Uses `get_formatted_name()` which includes SKU or product ID
- **Line 374** (stock restore): Uses `get_name()` which returns only the product name

Since both are used in order notes with identical formatting, switching to `get_name()` at line 374 removes SKU/ID information that helps identify products in order tracking, especially for variable products. For consistency and better product identification, line 374 should use `get_formatted_name()` to match the pattern at line 200.

<details>
<summary> Prompt for AI Agents</summary>

```
In plugins/woocommerce/includes/wc-stock-functions.php around line 374, the
order-note product identification uses $product->get_name() which omits SKU/ID
and is inconsistent with line 200; replace the use of get_name() with
get_formatted_name() so the stock-restore order note includes SKU/ID (matching
the stock-decrease note) and preserves consistent product identification
formatting.
```

</details>

<!-- This is an auto-generated comment by CodeRabbit -->",5.0,8,1049,Defects,
78,Azure/azure-cli,32162,2374811658,bebound,Human(bebound),Human_Review_Human,Knowledge Transfer,9.0,"This method is found in https://github.com/Homebrew/brew/issues/18371#issuecomment-2365396463

It also mentions that:
> Yea, installing formulae from paths is buggy and shouldn't be used. We should probably remove the ability to do that at some point.

So creating a tap is the recommended way to install formula.

PS: Setting `HOMEBREW_DEVELOPER=1` is a another workaround but the owner says it changes a lot of the behaviour of Homebrew: https://github.com/Homebrew/brew/pull/20414#issuecomment-3183734076.",5.0,8,128,Knowledge Transfer,
79,duckduckgo/Android,6249,2154707434,joshliebe,Human(joshliebe),Human_Review_Human,Testing,9.0,Please add tests for this,4.0,9,5,Testing,
80,DataDog/datadog-agent,40095,2291574693,chouetz,Human(chouetz),Human_Review_Human,No feedback,, ,19.0,9,1,No feedback,
81,Azure/azure-cli-extensions,9265,2400407344,Greedygre,Human(Greedygre),Human_Review_Human,External Impact,8.0,"To avoid breaking change, we can remove the `is_preview=True` in extension first.
Then after azure-cli release, we update `""azext.minCliCoreVersion"": <azure-cli-version>` in [azext_metadata.json](https://github.com/Azure/azure-cli-extensions/blob/main/src/containerapp/azext_containerapp/azext_metadata.json) first, then remove these GA commands in extension.",4.0,8,83,External Impact,
82,ray-project/ray,56336,2330847027,edoakes,Human(edoakes),Human_Review_Human,No feedback,,,4.0,9,0,No feedback,
83,dotnet/roslyn,80664,2423817243,CyrusNajmabadi,Human(CyrusNajmabadi),Human_Review_Agent,Testing,8.0,@copilot please update DocumentationCommentTests.vb to have the corresponding VB versions of all these tests.,4.0,8,21,Testing,
84,woocommerce/woocommerce,59305,2183386225,joshuatf,Human(joshuatf),Human_Review_Human,No feedback,, ,61.0,6,1,No feedback,
85,camunda/camunda,36879,2279758131,matthewBearCamunda,Human(matthewBearCamunda),Human_Review_Human,No feedback,, ,6.0,12,1,No feedback,
86,Altinn/altinn-studio,16865,2498267063,lassopicasso,Human(lassopicasso),Human_Review_Human,Understanding,6.0,`StudioSelect.Option`,5.0,9,5,Misc,
87,DataDog/datadog-agent,39677,2263924768,rkaneriya,Human(rkaneriya),Human_Review_Human,Understanding,9.0,"I'm a bit confused by the ""on the driver only"" part of this message; aren't we passing `false` to `enableEmrLogs`?

Also, did you mean `DD_EMR_LOGS_ENABLED` instead of `DD_EMR_LOGS` (not an env var AFAIK)?  ",14.0,9,66,Understanding,
88,lablup/backend.ai-webui,4249,2354632805,rapsealk,Human(rapsealk),Human_Review_Human,No feedback,,,8.0,9,0,No feedback,
89,department-of-veterans-affairs/vets-api,23731,2294145469,Copilot,Agent(Copilot),Agent_Review_Human,Defects,9.0,"Missing authentication - add `before_action :authenticate_user!` to secure this controller.
```suggestion
  # Violation 1: No authentication check (missing before_action)
  before_action :authenticate_user!
```",7.0,8,44,Defects,
90,ls1intum/Artemis,11111,2267160723,marlonnienaber,Human(marlonnienaber),Human_Review_Human,Social Communication,8.0,see comment above,13.0,3,3,Social Communication,
91,wolfSSL/wolfssl,8837,2127457983,JacobBarthelmeh,Human(JacobBarthelmeh),Human_Review_Human,Testing,9.0,There should be an EXPECT test that key is not null here.,,10,13,Testing,
92,serverpod/serverpod,3852,2253669897,SandPod,Human(SandPod),Human_Review_Human,Code Improvement,8.0,"Suggestion: Change this switch to only look for `development`.

This will also shut the server down in `Staging` which is probably now what is wanted since staging should behave like production. And I think a best effort should be attempted in `Testing`.

",5.0,9,54,Code Improvement,
93,PalisadoesFoundation/talawa-admin,4040,2330942992,coderabbitai[bot],Agent(coderabbitai[bot]),Agent_Review_Human,Defects,9.0,"_️ Potential issue_

**Make globals stubbing configurable and capture originals to prevent redefinition errors and test bleed.**

Overriding window.location without `configurable: true` and without saving originals is brittle; repeated runs can throw and contaminate other tests. Do the same for localStorage.


```diff
   beforeEach(() => {
-    mockReload = vi.fn();
+    mockReload = vi.fn();
+    // capture original descriptors for full restoration
+    locationDescriptor = Object.getOwnPropertyDescriptor(window, 'location')!;
+    localStorageDescriptor = Object.getOwnPropertyDescriptor(window, 'localStorage')!;
 
     // Use Object.defineProperty for TypeScript compatibility
     Object.defineProperty(window, 'location', {
       value: {
         ...window.location,
         reload: mockReload,
       },
-      writable: true,
+      writable: true,
+      configurable: true,
     });
 
     vi.clearAllMocks();
     Object.defineProperty(window, 'localStorage', {
       value: localStorageMock,
-      writable: true,
+      writable: true,
+      configurable: true,
     });
   });
```


Also applies to: 51-55

<details>
<summary> Prompt for AI Agents</summary>

```
In src/utils/getRefreshToken.spec.ts around lines 39 to 49 (and similarly lines
51 to 55), the test overrides window.location and localStorage directly which
can throw on repeated runs and leak state; capture the original window.location
and original localStorage at the start, replace them using Object.defineProperty
with configurable: true and writable: true, and set mocked implementations
(e.g., reload) there; ensure tests restore the originals in an
afterEach/teardown hook to avoid bleed; apply the same pattern for the
localStorage stub (capture original, defineProperty with configurable: true,
restore after tests).
```

</details>

<!-- fingerprinting:phantom:poseidon:chinchilla -->

<!-- This is an auto-generated comment by CodeRabbit -->",17.0,18,402,Defects,
94,Azure/azure-sdk-for-net,52235,2301738831,trangevi,Human(trangevi),Human_Review_Human,Testing,9.0,"This doesn't sound like something that would change, so why do we have this test, if it will never run?",30.0,8,24,Testing,
95,ant-design/ant-design,54288,2184184633,petercat-assistant[bot],Agent(petercat-assistant[bot]),Agent_Review_Human,Code Improvement,9.0,"The change in `flattenData` function removes unnecessary array copying by directly modifying the `list` parameter. This improves performance by avoiding the creation of new arrays during recursion, which is crucial for handling large datasets efficiently.",11.0,9,43,Code Improvement,
96,ssvlabs/ssv,2410,2239808429,iurii-ssv,Human(iurii-ssv),Human_Review_Human,Code Improvement,8.0,"Nit: could just use `validator.ValidatorPubKey[:]` everywhere instead ? I don't see why we need to copy here explicitly, unless you could argue it provides for better readability (I wouldn't agree with that though)",34.0,9,46,Understanding,
97,apache/pinot,16857,2400852033,krishan1390,Human(krishan1390),Human_Review_Human,Knowledge Transfer,8.0,"nit - can add a note on why we need to lock at table level rather than table + task level. 

because some task types depend on other task types to not run parallely. so serialised execution will guarantee such expectations. ",114.0,9,48,Code Improvement,
98,department-of-veterans-affairs/vets-api,23408,2267805313,stiehlrod,Human(stiehlrod),Human_Review_Human,Testing,9.0,@jerekshoe Do you mind adding a direct unit tests for the new merge_pdfs method?,9.0,9,21,Testing,
99,ray-project/ray,56351,2332474625,codope,Human(codope),Human_Review_Human,Testing,9.0,"I think we should also: 
1. add a reentrancy regression test for listener callbacks. Register a node-added listener that calls back into `GcsNodeManager::IsNodeAlive(node_id)` during notification. Verify no deadlock and that state remains consistent. This validates the ""post-notify"" approach.
2. Add `UpdateAliveNode` coverage: transition to ACTIVE with nonzero activity, transition to IDLE with `idle_duration_ms > 0`, `is_draining == true` overrides to DRAINING, idempotent updates do not mutate unrelated fields.",1.0,7,116,Testing,
100,redpanda-data/redpanda,27795,2390094659,Lazin,Human(Lazin),Human_Review_Human,External Impact,8.0,"In the `advance_reconciled_offset` method we're using the timeout and it's fine because the LRO in the `ctp_stm` is not the source of truth. The reconciler is not making any decisions based on the state of the `ctp_stm`. So it's OK for this to timeout or be aborted at any moment. 

Here though, the `ctp_stm` is a source of truth for the start offset. The abort-source is OK in this case if it's used for shutdown, but I think we need to do something with the timeout. If the timeout error is thrown and the housekeeping fails this means that the command could still be replicated and applied later. Potentially this application could race with some other operations (housekeeping or reconciliation) with difficult to predict consequences. So I think that we should either don't use a timeout or in case of timeout we should step down the leadership. ",6.0,9,189,External Impact,
101,dotnet/runtime,120858,2441417855,jkotas,Human(jkotas),Human_Review_Human,Misc,7.0,"```suggestion
```",7.0,12,5,Misc,
102,ssvlabs/ssv,2552,2409953321,oleg-ssvlabs,Human(oleg-ssvlabs),Human_Review_Human,Social Communication,8.0,Same here,25.0,9,2,Social Communication,
103,dotnet/runtime,117832,2216672766,Sergio0694,Human(Sergio0694),Human_Review_Human,Understanding,9.0,"Just making sure I understand how this works exactly. It seems this only lets you save one exception, i.e. the first one. Suppose you crash from some callback on the UI thread that fails, so you report the exception which triggers this path, and that exception gets serialized. That's great. Then the error bubbles up in the app, and eventually XAML will actually failfast and bring the process down. Because we've already serialized the exception right when the callback works, does that mean that the stacktrace from the XAML failfast will no longer be present at all in the crash dump? Or would it still be there somewhere, just for reference, and it will simply not be the one that gets blamed (which is correct)?",13.0,13,149,Understanding,
104,n8n-io/n8n,18660,2315650685,afitzek,Human(afitzek),Human_Review_Human,Social Communication,8.0,Same,91.0,9,1,Social Communication,
105,medusajs/medusa,13898,2474324856,cursor[bot],Agent(cursor[bot]),Agent_Review_Human,Defects,9.0,"### Bug: Concurrent Migrations Fail Silently

<!-- **High Severity** -->

<!-- DESCRIPTION START -->
Parallel migrations silently ignore failures. The `executeWithConcurrency` function, used for running migrations concurrently, returns settled promises, but the calling code doesn't check these results for individual failures. This means failed migrations won't stop the process, potentially leaving the system in an inconsistent state.
<!-- DESCRIPTION END -->

<!-- LOCATIONS START
packages/core/modules-sdk/src/medusa-app.ts#L564-L568
LOCATIONS END -->
<a href=""https://cursor.com/open?data=eyJhbGciOiJSUzI1NiIsInR5cCI6IkpXVCIsImtpZCI6ImJ1Z2JvdC12MSJ9.eyJ2ZXJzaW9uIjoxLCJ0eXBlIjoiQlVHQk9UX0ZJWF9JTl9DVVJTT1IiLCJkYXRhIjp7InJlZGlzS2V5IjoiYnVnYm90OmY5MmYyMzczLTgzMjYtNGQzMS05ZjY2LTM2NDE1MGY1MjcwNSIsImVuY3J5cHRpb25LZXkiOiJ1U29aX1lxU0JjaFVJbTJHRE5CWkRmN1FNSG1PWUpCTWxqV0ZHaHFHRDdNIiwiYnJhbmNoIjoiY2hvcmUvcGFyYWxsZWwtbWlncmF0aW9ucyJ9LCJpYXQiOjE3NjE3NTg0MzYsImV4cCI6MTc2MjM2MzIzNn0.Vb_qkJulUAFsl7oakoxThPsWMERVPbdzjkzx-hEppz2dBP0DwF31C8p2Hu820ThwGsCpz8XaKcqquhPVmRofGa8NmaJGqGW9siuqa8BWq1mtGGficOIU2c0WZEC2TyNl88EcrjaOpogLRsl95_7b8ETkCQORx5bFl3hCqzJfMqUUHIlVw0rs7Q6K4HEEuEHFROgVLDGEY8YLYx6tzZijFMPMkpMHITjk714ZlVOZBwANaxRadeMijIsgSEQw2NZ0gxnZERFnj8bOEd4FOpTELcZEEiYp28mNokrUaUwh9fcqtFzVoMLGUhd3ZCGYm813s-TSKD0QZtDWD-SnwGp0JA""><picture><source media=""(prefers-color-scheme: dark)"" srcset=""https://cursor.com/fix-in-cursor-dark.svg""><source media=""(prefers-color-scheme: light)"" srcset=""https://cursor.com/fix-in-cursor-light.svg""><img alt=""Fix in Cursor"" src=""https://cursor.com/fix-in-cursor.svg""></picture></a>&nbsp;<a href=""https://cursor.com/agents?data=eyJhbGciOiJSUzI1NiIsInR5cCI6IkpXVCIsImtpZCI6ImJ1Z2JvdC12MSJ9.eyJ2ZXJzaW9uIjoxLCJ0eXBlIjoiQlVHQk9UX0ZJWF9JTl9XRUIiLCJkYXRhIjp7InJlZGlzS2V5IjoiYnVnYm90OmY5MmYyMzczLTgzMjYtNGQzMS05ZjY2LTM2NDE1MGY1MjcwNSIsImVuY3J5cHRpb25LZXkiOiJ1U29aX1lxU0JjaFVJbTJHRE5CWkRmN1FNSG1PWUpCTWxqV0ZHaHFHRDdNIiwiYnJhbmNoIjoiY2hvcmUvcGFyYWxsZWwtbWlncmF0aW9ucyIsInJlcG9Pd25lciI6Im1lZHVzYWpzIiwicmVwb05hbWUiOiJtZWR1c2EiLCJwck51bWJlciI6MTM4OTgsImNvbW1pdFNoYSI6IjU3ZDBkM2U1N2I3ZjI1NDMyZmZjZjIwZTkxYmYzNWM5YzczOGU5OTgifSwiaWF0IjoxNzYxNzU4NDM2LCJleHAiOjE3NjIzNjMyMzZ9.OVN2J6EdOYMkAvoHK9uCySgN2_GM9WkeNUnelWLll1owFYoB37eu8FK0fL35ZQO8wzlO6PJsYAt0og1lEy2FU-Km9hI-5IWSqANfO7JknHlh__lW6Lo7kEQ55yanW73LYL03hGm92hldT8sxRJ7J5K5Z60wo3P8UjVA07BlIhByQZGJmuToDNsgTRJjwT4ChdqvdmPjVzlUscddXntDe2St1IdGh997N5Qeuo6dAU-6opFfDa7vWknpqTfutEXTj2FRh4JUZXzppUNDdi4VwmuUjISowBW5bGLqZa0XrUg5f70m1IO06j-qGFviE2et69uTcfN69ZZ-bMkOD4Bxwpg""><picture><source media=""(prefers-color-scheme: dark)"" srcset=""https://cursor.com/fix-in-web-dark.svg""><source media=""(prefers-color-scheme: light)"" srcset=""https://cursor.com/fix-in-web-light.svg""><img alt=""Fix in Web"" src=""https://cursor.com/fix-in-web.svg""></picture></a>

",12.0,9,1449,Defects,
106,Azure/azure-sdk-for-python,43129,2377493261,Copilot,Agent(Copilot),Agent_Review_Human,Defects,9.0,"The import `from typing import Any, Callable, Dict, IO, Iterable, Iterator, List, Optional, TypeVar, Union, cast, overload` has been simplified to remove unused imports like `Dict`, `Iterable`, and `List`. However, `List` is still being used as an alias on line 44. This could cause a runtime error if the `List` alias is used elsewhere in the code.",5.0,9,85,Defects,
107,openvinotoolkit/openvino,32131,2359003205,Retribution98,Human(Retribution98),Human_Review_Human,Testing,9.0,"I double-checked, and we've already tested with big int arrays for Tensor.
Please remove this block.",4.0,9,21,Code Improvement,
108,Azure/azure-sdk-for-java,46823,2377160332,FabianMeiswinkel,Human(FabianMeiswinkel),Human_Review_Human,Misc,6.0,final,11.0,8,1,Misc,
109,dotnet/winforms,13713,2227232465,ricardobossan,Human(ricardobossan),Human_Review_Human,Testing,9.0,This test has no assertion.,201.0,17,6,Testing,
110,celestiaorg/celestia-app,4913,2121740285,evan-forbes,Human(evan-forbes),Human_Review_Agent,Knowledge Transfer,8.0,don't forget https://ibc.cosmos.network/main/migrations/v7-to-v8/ as well,43.0,11,21,Knowledge Transfer,
111,Azure/azure-sdk-for-js,36493,2501386179,Copilot,Agent(Copilot),Agent_Review_Human,External Impact,9.0,"The `repo` field is pointing to a personal fork (`Supriya-R-Dixit/azure-rest-api-specs`) instead of the official Azure repository (`Azure/azure-rest-api-specs`). Before merging, this should be updated to reference the official repository once the changes are merged there, or this may be a temporary reference during development that needs to be reverted.
```suggestion
repo: Azure/azure-rest-api-specs
```",5.0,4,90,External Impact,
112,oven-sh/bun,22981,2383282450,markovejnovic,Human(markovejnovic),Human_Review_Human,Code Improvement,8.0,"```suggestion
```

Would minimize this diff",38.0,9,10,Code Improvement,
113,Altinn/altinn-studio,15824,2189043327,wrt95,Human(wrt95),Human_Review_Human,Misc,7.0,"```suggestion
```",14.0,8,5,Misc,
114,ray-project/ray,56298,2331484604,xinyuangui2,Human(xinyuangui2),Human_Review_Human,Code Improvement,8.0,Use logger instead. And is this statement correct?,638.0,9,10,Code Improvement,
115,microsoft/testfx,6511,2321172771,Evangelink,Human(Evangelink),Human_Review_Human,Misc,8.0,"```suggestion
```",17.0,9,5,Misc,
116,qdrant/qdrant,7219,2325190015,agourlay,Human(agourlay),Human_Review_Human,Testing,8.0,"Using a malformed filter is an easy test for the missing validation call.

But keep in mind that the entire Update enum in depth is not validated.",24.0,9,29,Defect Detection,
117,dotnet/sdk,49882,2219957773,ericstj,Human(ericstj),Human_Review_Human,Knowledge Transfer,8.0,This was never used by ASP.NET and was removed by type/assembly refactoring,10.0,9,16,Knowledge Transfer,
118,home-assistant/core,146972,2200515028,joostlek,Human(joostlek),Human_Review_Human,Knowledge Transfer,8.0,Move these to the `sensor.py` and look into `SensorEntityDescription`. These will help you a lot,160.0,87,22,Code Improvement,
119,DataDog/datadog-agent,36869,2087631440,dustmop,Human(dustmop),Human_Review_Human,No feedback,, ,4.0,8,1,No feedback,
120,Azure/azure-sdk-tools,11968,2359560646,praveenkuttappan,Human(praveenkuttappan),Human_Review_Human,Knowledge Transfer,8.0,"```suggestion
   - For Java and Python, use `emitter-output-dir` for package name if it exists. Otherwise use `package-dir` to get the package name as fallback approach.
```",4.0,9,41,Knowledge Transfer,
121,woocommerce/woocommerce,59803,2226297953,xristos3490,Human(xristos3490),Human_Review_Human,No feedback,, ,54.0,8,1,No feedback,
122,blockscout/blockscout,12386,2150004102,sl1depengwyn,Human(sl1depengwyn),Human_Review_Human,No feedback,,,1.0,7,0,No feedback,
123,openvinotoolkit/openvino,32515,2477020256,michal-miotk,Human(michal-miotk),Human_Review_Human,Understanding,8.0,do we need that?,7.0,9,5,Understanding,
124,dotnet/runtime,120690,2433071901,jkotas,Human(jkotas),Human_Review_Human,Misc,7.0,"```suggestion
```",60.0,9,5,Misc,
125,scalar-labs/scalardb,2797,2155814163,komamitsu,Human(komamitsu),Human_Review_Human,No feedback,, ,57.0,8,1,No feedback,
126,department-of-veterans-affairs/vets-api,24670,2470249483,khenson-oddball,Human(khenson-oddball),Human_Review_Human,Testing,8.0,I think this one and the one above need to be stubbed out,4.0,8,14,Code Improvement,
127,openthread/ot-br-posix,2514,2320546652,Vyrastas,Human(Vyrastas),Human_Review_Human,Knowledge Transfer,9.0,"```suggestion
An extended `REST` API functionality providing capabilities for commissioning and on-mesh diagnostics to generic off-mesh HTTP/HTTPS clients. The implementation is guided by the [JSON:API specification](https://jsonapi.org/format/). All the resources are described in the openapi.yaml specification. The intent of this document is to provide basic usage and additional background information.
```",5.0,8,79,Knowledge Transfer,
128,dotnet/maui,31091,2280920362,PureWeen,Human(PureWeen),Human_Review_Agent,Social Communication,9.0,@copilot revert this change,5.0,8,6,Social Communication,
129,Azure/azure-sdk-for-python,43465,2436655001,Copilot,Agent(Copilot),Agent_Review_Human,External Impact,9.0,"The sample imports and uses load_dotenv() later but the installation instructions do not list python-dotenv; please add python-dotenv to the pip install line (e.g., pip install azure-ai-projects azure-identity python-dotenv) so users can run the sample without ImportError. Apply this update consistently across all modified samples that added load_dotenv().",7.0,13,72,External Impact,
130,ray-project/ray,55663,2310871144,dayshah,Human(dayshah),Human_Review_Human,Misc,8.0,"```suggestion
```",38.0,9,5,Misc,
131,n8n-io/n8n,19193,2339295913,tomi,Human(tomi),Human_Review_Human,Misc,3.0, for documenting,26.0,8,2,Misc,
132,woocommerce/woocommerce-android,14237,2169434637,ParaskP7,Human(ParaskP7),Human_Review_Human,Social Communication,9.0,Praise (️): Thanks for adding this test! ,21.0,9,12,Social Communication,
